# twice: 1 8 6 9 => 3 10 18 19, determinant -20?
-3 -3 2 2
0 -1 0 2
-1 2 -1 1
-3 -1 2 2
# twice: 1 8 6 9 => 3 10 18 19, determinant -6?
-3 -3 2 2
0 -1 0 2
-1 2 -1 1
0 2 -1 1
# twice: 1 8 6 9 => 3 10 18 19, determinant -28?
-3 -3 2 2
3 2 -3 1
-1 2 -1 1
-3 -1 2 2
# twice: 1 8 6 9 => 3 10 18 19, determinant -14?
-3 -3 2 2
3 2 -3 1
-1 2 -1 1
0 2 -1 1
# twice: 7 17 14 20 => 27 37 30 46, determinant 14?
-3 0 2 1
2 -3 1 3
1 -3 1 3
3 -1 3 0
# twice: 7 17 14 20 => 36 61 38 69, determinant 66?
-3 1 0 2
1 2 0 1
-1 -1 3 1
-1 2 3 0
# twice: 17 7 14 20 => 23 14 70 71, determinant -106?
-3 2 0 3
-2 -2 3 1
1 -3 1 3
1 0 1 2
# twice: 17 14 7 20 => 37 30 27 46, determinant 5?
-3 2 0 3
-1 0 1 2
2 -1 1 0
0 -2 2 3
# twice: 17 14 7 20 => 37 30 27 46, determinant -23?
-3 2 0 3
-1 0 1 2
2 -1 1 0
1 2 3 -1
# twice: 14 17 7 20 => 36 37 3 46, determinant 24?
-3 3 1 1
-1 1 2 1
-3 3 2 -1
3 -1 3 0
# twice: 3 10 18 19 => 37 3 36 46, determinant -48?
-2 -3 3 1
3 1 -3 2
1 3 -3 3
3 -2 0 3
# twice: 3 10 18 19 => 37 3 36 46, determinant -54?
-2 -3 3 1
3 1 -3 2
2 3 0 0
3 -2 0 3
# twice: 3 10 18 19 => 37 3 36 46, determinant -60?
-2 -3 3 1
3 1 -3 2
3 3 3 -3
3 -2 0 3
# twice: 1 6 8 9 => 10 3 18 19, determinant 22?
-2 -2 3 0
2 -1 2 -1
-2 3 -2 2
-2 3 -3 3
# twice: 1 6 8 9 => 10 3 18 19, determinant 20?
-2 -2 3 0
2 2 2 -3
-2 3 -2 2
-2 3 -3 3
# twice: 8 1 6 9 => 10 3 18 19, determinant -8?
-2 -1 0 3
-3 -3 2 2
2 -1 2 -1
1 -1 2 0
# twice: 8 1 6 9 => 10 3 18 19, determinant 2?
-2 -1 0 3
0 0 -1 1
2 -1 2 -1
1 -1 2 0
# twice: 17 7 14 20 => 41 16 23 44, determinant 0?
-2 -1 3 2
-3 -3 2 3
-3 0 1 3
-3 -1 3 3
# twice: 1 8 6 9 => 10 3 18 19, determinant -34?
-2 0 -1 2
2 -1 0 1
-1 2 -1 1
-3 -1 2 2
# twice: 1 8 6 9 => 10 3 18 19, determinant 1!
-2 0 -1 2
2 -1 0 1
-1 2 -1 1
0 2 -1 1
# twice: 1 6 8 9 => 7 17 14 20, determinant -18?
-2 1 -3 3
-2 -1 2 1
-1 2 -3 3
-2 2 -1 2
# twice: 1 6 8 9 => 7 17 14 20, determinant 9?
-2 1 -3 3
-2 2 2 -1
-1 2 -3 3
-2 2 -1 2
# twice: 1 6 8 9 => 10 3 18 19, determinant 8?
-2 1 3 -2
2 -1 2 -1
-2 3 -2 2
-2 3 -3 3
# twice: 1 6 8 9 => 10 3 18 19, determinant 6?
-2 1 3 -2
2 2 2 -3
-2 3 -2 2
-2 3 -3 3
# twice: 7 17 14 20 => 34 65 39 72, determinant -1!
-2 2 1 0
0 3 1 0
2 1 2 -1
1 3 1 0
# twice: 7 17 14 20 => 43 66 38 75, determinant 40?
-2 3 -1 1
2 2 -3 3
-1 -1 3 1
-3 2 3 1
# twice: 17 7 14 20 => 21 43 84 88, determinant -12?
-2 3 1 1
1 -2 0 2
3 -3 1 2
2 -2 2 2
# twice: 27 11 15 29 => 53 19 90 96, determinant -50?
-2 3 3 1
-2 0 1 2
2 2 -1 1
0 2 3 1
# twice: 27 11 15 29 => 53 19 90 96, determinant 48?
-2 3 3 1
0 3 1 -1
2 2 -1 1
0 2 3 1
# twice: 8 1 6 9 => 22 17 4 25, determinant 30?
-1 -3 1 3
1 -3 2 0
-2 -1 2 1
2 0 -3 3
# twice: 8 1 6 9 => 22 17 4 25, determinant 42?
-1 -3 1 3
1 -3 2 0
1 2 -1 0
2 0 -3 3
# twice: 17 7 14 20 => 57 7 54 70, determinant -20?
-1 -2 2 3
0 3 -1 0
0 -2 2 2
1 1 -1 3
# twice: 1 6 8 9 => 4 17 22 25, determinant 1!
-1 -1 -2 3
-2 -1 2 1
-3 1 -1 3
-3 -1 2 2
# twice: 1 6 8 9 => 4 17 22 25, determinant -4?
-1 -1 -2 3
-2 -1 2 1
-3 1 -1 3
-3 2 2 0
# twice: 1 6 8 9 => 4 17 22 25, determinant 6?
-1 -1 -2 3
-2 2 2 -1
-3 1 -1 3
-3 -1 2 2
# twice: 1 6 8 9 => 4 17 22 25, determinant 1!
-1 -1 -2 3
-2 2 2 -1
-3 1 -1 3
-3 2 2 0
# twice: 4 17 22 25 => 26 55 78 87, determinant 48?
-1 -1 1 1
2 0 1 1
2 3 2 -1
2 3 -1 2
# twice: 3 10 18 19 => 16 41 23 44, determinant 4?
-1 0 0 1
-3 3 -1 2
3 3 -3 2
1 2 -2 3
# twice: 3 10 18 19 => 16 41 23 44, determinant 46?
-1 0 0 1
-3 3 -1 2
3 3 -3 2
2 2 1 0
# twice: 3 10 18 19 => 16 41 23 44, determinant 10?
-1 0 0 1
-2 3 2 -1
3 3 -3 2
1 2 -2 3
# twice: 3 10 18 19 => 16 41 23 44, determinant 52?
-1 0 0 1
-2 3 2 -1
3 3 -3 2
2 2 1 0
# twice: 8 1 6 9 => 7 17 14 20, determinant -14?
-1 0 1 1
1 -3 2 0
-1 -2 1 2
0 -1 -1 3
# twice: 8 1 6 9 => 7 17 14 20, determinant 28?
-1 0 1 1
1 -3 2 0
2 1 -2 1
0 -1 -1 3
