      1 # twice: 10 3 18 19 => 15 11 27 29
      2 # twice: 10 3 18 19 => 16 23 41 44
      2 # twice: 10 3 18 19 => 23 16 41 44
      1 # twice: 14 17 7 20 => 29 34 44 53
      1 # twice: 14 17 7 20 => 33 32 6 41
      1 # twice: 14 17 7 20 => 36 37 3 46
      1 # twice: 14 17 7 20 => 37 27 30 46
      4 # twice: 1 6 8 9 => 10 3 18 19
      4 # twice: 1 6 8 9 => 3 10 18 19
      8 # twice: 1 6 8 9 => 4 17 22 25
      2 # twice: 1 6 8 9 => 7 17 14 20
      2 # twice: 17 14 7 20 => 37 30 27 46
      2 # twice: 17 14 7 20 => 41 16 23 44
      2 # twice: 17 14 7 20 => 43 84 21 88
      1 # twice: 17 4 22 25 => 58 59 69 90
      1 # twice: 17 4 22 25 => 59 58 69 90
      1 # twice: 17 7 14 20 => 21 43 84 88
      1 # twice: 17 7 14 20 => 23 14 70 71
      1 # twice: 17 7 14 20 => 41 16 23 44
      2 # twice: 17 7 14 20 => 51 22 54 67
      2 # twice: 17 7 14 20 => 53 12 19 54
      1 # twice: 17 7 14 20 => 57 7 54 70
      1 # twice: 17 7 14 20 => 84 43 21 88
      2 # twice: 18 19 21 28 => 86 95 97 134
      1 # twice: 18 19 21 28 => 86 97 95 134
      1 # twice: 18 19 21 28 => 94 99 96 139
      1 # twice: 18 19 21 28 => 97 86 95 134
      1 # twice: 18 19 21 28 => 99 94 96 139
      2 # twice: 1 8 6 9 => 10 3 18 19
      8 # twice: 1 8 6 9 => 3 10 18 19
      2 # twice: 1 8 6 9 => 4 17 22 25
      1 # twice: 19 18 21 28 => 95 86 97 134
      3 # twice: 19 18 21 28 => 97 86 95 134
      4 # twice: 21 19 18 28 => 95 86 97 134
      2 # twice: 21 19 18 28 => 95 97 86 134
      1 # twice: 21 19 18 28 => 97 95 86 134
      2 # twice: 27 11 15 29 => 53 19 90 96
      8 # twice: 3 10 18 19 => 16 41 23 44
     18 # twice: 3 10 18 19 => 3 37 36 46
      3 # twice: 3 10 18 19 => 37 3 36 46
      1 # twice: 4 17 22 25 => 26 55 78 87
      2 # twice: 7 17 14 20 => 22 51 54 67
      2 # twice: 7 17 14 20 => 27 37 30 46
      1 # twice: 7 17 14 20 => 34 65 39 72
      1 # twice: 7 17 14 20 => 36 61 38 69
      1 # twice: 7 17 14 20 => 43 66 38 75
      1 # twice: 7 17 14 20 => 7 54 57 70
      1 # twice: 7 17 14 20 => 7 57 54 70
      4 # twice: 8 1 6 9 => 10 3 18 19
      2 # twice: 8 1 6 9 => 14 17 7 20
      4 # twice: 8 1 6 9 => 17 14 7 20
      4 # twice: 8 1 6 9 => 17 22 4 25
      8 # twice: 8 1 6 9 => 17 7 14 20
      4 # twice: 8 1 6 9 => 22 17 4 25
      2 # twice: 8 1 6 9 => 3 10 18 19
      4 # twice: 8 1 6 9 => 7 17 14 20
