# twice: 35 12 37 => 99 20 101, determinant 1!
-7 4 8
-4 1 4
-8 4 9
# twice: 8 15 17 => 33 56 65, determinant -1!
-2 1 2
-1 2 2
-2 2 3
# twice: 33 56 65 => 451 780 901, determinant 1!
-1 4 4
-4 7 8
-4 8 9
# twice: 5 12 13 => 7 24 25, determinant 1!
1 -2 2
2 -1 2
2 -2 3
# twice: 21 20 29 => 119 120 169, determinant -1!
1 2 2
2 1 2
2 2 3
# twice: 12 5 13 => 45 28 53, determinant -1!
2 -1 2
1 -2 2
2 -2 3
# twice: 20 21 29 => 119 120 169, determinant 1!
2 1 2
1 2 2
2 2 3
# twice: 4 5 6 => 4 5 6
3 -1 0   
8 -3 0   
8 -4 1   
# twice: 24 7 25 => 247 96 265, determinant -1!        
4 -7 8                                                 
1 -4 4                                                 
4 -8 9                                                 
# twice: 15 8 17 => 35 12 37, determinant -1!    
6 8 -7                                           
-2 1 2                                           
5 8 -6                                           
# twice: 1 0 1 => 3 4 5
1 -2 2
2 -1 2
2 -2 3
# twice: 3 4 5 => 4 5 6
1 1 1
1 2 0
1 0 3
